class,Q,A
KeyGlassCage.cs,What inheritance relationship does KeyGlassCage.cs have?,The KeyGlassCage.cs class inherits from the MonoBehaviour class.
KeyGlassCage.cs,in 'KeyGlassCage.cs' How does the program open the cage?," ```csharp
glass.DOLocalMoveY(openY, 0.5f);
``` "
KeyGlassCage.cs,in 'KeyGlassCage.cs' how does the program close the cage?," ```csharp
glass.DOLocalMoveY(closeY, 0.5f);
``` "
KeyGlassCage.cs,in 'KeyGlassCage.cs' what variable holds the glass?," ```csharp
private Transform glass;
``` "
KeyGlassCage.cs,in 'KeyGlassCage.cs' what is the name of the field that holds the Y position of the glass when it's closed?," ```csharp
private float closeY;
``` "
KeyGlassCage.cs,in 'KeyGlassCage.cs' what is the name of the field that holds the Y position of the glass when it's opened?," ```csharp
private float openY;
``` "
KeyGlassCage.cs,in 'KeyGlassCage.cs' what is the name of the method called to open the cage?," ```csharp
public void Open() {
  glass.DOLocalMoveY(openY, 0.5f);
}
``` "
KeyGlassCage.cs,in 'KeyGlassCage.cs' what is the name of the method called to close the cage?," ```csharp
public void Close() {
  glass.DOLocalMoveY(closeY, 0.5f);
}
``` "
KeyGlassCage.cs,in 'KeyGlassCage.cs' what library is used to move the glass?," ```csharp
using DG.Tweening;
``` "
KeyGlassCage.cs,in 'KeyGlassCage.cs' what namespace is used to access the glass?," ```csharp
private Transform glass;
``` "
KeyGlassCage.cs,in 'KeyGlassCage.cs' How does the program know which namespace to use for glass?," ```csharp
using UnityEngine;
``` "
Level2MainCoreStationManager.cs,What is the purpose of the Level2MainCoreStationManager class?,"The Level2MainCoreStationManager class manages the main core station, the platform, tracks the number of solved puzzles and unlocks the main door when all 3 puzzles are solved."
Level2MainCoreStationManager.cs,What happens when a power core is inserted?,"The PowerCoreInserted() method is called, which brings up the platform if the core ID is 0, or calls SolvedPuzzle() if the core ID is 1, 2, or 3."
Level2MainCoreStationManager.cs,What happens when a puzzle is solved?,"The SolvedPuzzle() method is called, which increments the number of solved puzzles and calls SolvedAllPuzzles() if all 3 puzzles are solved."
Level2MainCoreStationManager.cs,What happens when all puzzles are solved?,"The SolvedAllPuzzles() method is called, which unlocks the main door."
Level2MainCoreStationManager.cs,What happens when the first power core is inserted?,"The BringUpThePlatform() method is called, which brings up the platform and calls EnteredLevel2Lobby() on the Lvl2FriendManager instance."
Level2MainCoreStationManager.cs,What is the purpose of the OnEnable() method?,The OnEnable() method subscribes to the OnPowerCoreInserted event and sets the cores parent to null so they don't move when the platform moves.
Level2MainCoreStationManager.cs,What is the purpose of the OnDisable() method?,The OnDisable() method unsubscribes from the OnPowerCoreInserted event.
Level2MainCoreStationManager.cs,What is the purpose of the platformAnimator field?,The platformAnimator field is used to control the platform's animations.
Level2MainCoreStationManager.cs,What is the purpose of the cores field?,The cores field is used to store the power core objects.
Level2MainCoreStationManager.cs,What is the purpose of the _solvedPuzzles field?,The _solvedPuzzles field is used to track the number of solved puzzles.
Level2MainCoreStationManager.cs,"in 'Level2MainCoreStationManager.cs' when a power core is inserted, what does the code check and execute depending on the id of the core?"," ```csharp
switch (id) {
            case 0:
                BringUpThePlatform();
                break;
            case 1:
                SolvedPuzzle();
                break;
            case 2:
                SolvedPuzzle();
                break;
            case 3:
                SolvedPuzzle();
                break;
        }
``` "
Level2MainCoreStationManager.cs,in 'Level2MainCoreStationManager.cs' how many power cores are there to be inserted?," ```csharp
[SerializeField] private PowerCoreObject[] cores;
``` "
Level2MainCoreStationManager.cs,in 'Level2MainCoreStationManager.cs' what function is called when the first power core is inserted?," ```csharp
private void BringUpThePlatform() {
        platformAnimator.SetTrigger(""BringUp"");
        Lvl2FriendManager.Instance.EnteredLevel2Lobby();
    }
``` "
Level2MainCoreStationManager.cs,"in 'Level2MainCoreStationManager.cs' when a power core is inserted, how does the code check the id of the core?"," ```csharp
switch (id) {
            case 0:
                BringUpThePlatform();
                break;
            case 1:
                SolvedPuzzle();
                break;
            case 2:
                SolvedPuzzle();
                break;
            case 3:
                SolvedPuzzle();
                break;
        }
``` "
Level2MainCoreStationManager.cs,in 'Level2MainCoreStationManager.cs' what happens when all 3 puzzles are solved?," ```csharp
private void SolvedAllPuzzles() {
        _mainDoor.Unlock();
    }
``` "
Level2MainCoreStationManager.cs,in 'Level2MainCoreStationManager.cs' what variable is used to track the number of solved puzzles?," ```csharp
private int _solvedPuzzles;
``` "
Level2MainCoreStationManager.cs,"in 'Level2MainCoreStationManager.cs' when a power core is inserted, what does the code do in the case where the power core is one of the puzzle power cores?"," ```csharp
else if (id == 1 || id == 2 || id == 3) {
    SolvedPuzzle();
}
``` "
Level2MainCoreStationManager.cs,"in 'Level2MainCoreStationManager.cs' when the first power core is inserted, how does the code tell the platform to come up?"," ```csharp
platformAnimator.SetTrigger(""BringUp"");
``` "
Level2MainCoreStationManager.cs,"in 'Level2MainCoreStationManager.cs' when the first power core is inserted, what does the code do to the cores' parent ?"," ```csharp
//setting the cores parent to null so they don't move when the platform moves
        foreach (var core in cores) core.transform.parent = null;
``` "
Level2MainCoreStationManager.cs,"in 'Level2MainCoreStationManager.cs' when a power core is inserted, what does the code do in the case where the power core is the platform key?"," ```csharp
case 0:
``` "
Level2Manager.cs,What is the function of the Level2Manager class located in the Level.Level2 folder in Unity?,"The Level2Manager class is responsible for serving as a hub for the Level 2 of the game, providing references to key managers and handling events for specific puzzles and elements within the level."
Level2Manager.cs,What specific level fields are found within the Level2Manager class?,"The Level2Manager class has two specific level fields: level2PuzzleMaster and level2MainCoreStationManager, which provide references to the Level2PuzzleMaster and Level2MainCoreStationManager classes respectively."
Level2Manager.cs,In which override method within the Level2Manager class is the level2PuzzleMaster's OnStart() method called?,The level2PuzzleMaster's OnStart() method is called in the Start() override method within the Level2Manager class.
Level2Manager.cs,"In the Level2Manager class, what method handles events related to the pressing of a button in Puzzle 1?",The method OnPuzzle1ButtonPressed in the Level2Manager class handles events related to the pressing of a button in Puzzle 1.
Level2Manager.cs,In which method within the Level2Manager class is the completion of Puzzle 2 checked?,The completion of Puzzle 2 is checked in the Puzzle2CheckForCompletion method within the Level2Manager class.
Level2Manager.cs,What method in the Level2Manager class handles events related to changes in the color of the light on a key holder in Puzzle 3?,The method Puzzle3KeyHolderLightChanged in the Level2Manager class handles events related to changes in the color of the light on a key holder in Puzzle 3.
Level2Manager.cs,Which method within the Level2Manager class is responsible for handling events related to the first pressure plate change in Puzzle 1's Stage 1?,The method Stage1PressurePlateChangedFirst in the Level2Manager class is responsible for handling events related to the first pressure plate change in Puzzle 1's Stage 1.
Level2Manager.cs,Which method within the Level2Manager class is responsible for handling events related to the second pressure plate change in Puzzle 1's Stage 1?,The method Stage1PressurePlateChangedSecond in the Level2Manager class is responsible for handling events related to the second pressure plate change in Puzzle 1's Stage 1.
Level2Manager.cs,Which method in the Level2Manager class handles events related to the pressure plate change in Puzzle 1's Stage 2?,The method Stage2PressurePlateChanged in the Level2Manager class handles events related to the pressure plate change in Puzzle 1's Stage 2.
Level2Manager.cs,"Within the Level2Manager class, in which override method are the OnEnable() methods for level2PuzzleMaster and level2MainCoreStationManager called?",The OnEnable() methods for level2PuzzleMaster and level2MainCoreStationManager are called in the OnEnable() override method within the Level2Manager class.
Level2Manager.cs,In the Start method of this class where do the methods we want to call on Level2PuzzleMaster come from?," ```csharp
protected override void Start() {
  base.Start();
  level2PuzzleMaster.OnStart();
}
``` "
Level2Manager.cs,"In the OnEnable method of this class, what is the context of enabling the method OnEnable on the 'level2PuzzleMaster' variable?"," ```csharp
protected override void OnEnable() {
  base.OnEnable();
  //calling OnEnable on some classes
  level2PuzzleMaster.OnEnable();
  level2MainCoreStationManager.OnEnable(mainDoor);
}
``` "
Level2Manager.cs,What keeps the 'Level2PuzzleMaster.Puzzle2CheckForCompletion()' method from being invoked?," ```csharp
public void Puzzle2CheckForCompletion() => level2PuzzleMaster.Puzzle2CheckForCompletion();
``` "
Level2Manager.cs,"In the 'Puzzle3KeyHolderLightChanged' method, what is the 'color' parameter doing?"," ```csharp
public void Puzzle3KeyHolderLightChanged(int id, LightColor color) =>
  level2PuzzleMaster.Puzzle3KeyHolderLightChanged(id, color);
``` "
Level2Manager.cs,What's the name of the object in the Inspector where we choose the method to be called when 'OnPuzzle1ButtonPressed' method is invoked?," ```csharp
public void OnPuzzle1ButtonPressed() => level2PuzzleMaster.OnPuzzle1ButtonPressed();
``` "
Level2Manager.cs,"In the disable method, what does the 'level2MainCoreStationManager.OnDisable()' method do?"," ```csharp
protected override void OnDisable() {
  base.OnDisable();
  //calling OnDisable on some classes
  level2PuzzleMaster.OnDisable();
  level2MainCoreStationManager.OnDisable();
}
``` "
Level2Manager.cs,What's the relationship between the 'Stage1PressurePlateChangedSecond' and 'Stage1PressurePlateChangedFirst' methods and 'Stage2PressurePlateChanged' method in this class?," ```csharp
public void Stage1PressurePlateChangedFirst(bool isActivated) =>
  level2PuzzleMaster.Stage1PressurePlateChangedFirst(isActivated);
public void Stage1PressurePlateChangedSecond(bool isActivated) =>
  level2PuzzleMaster.Stage1PressurePlateChangedSecond(isActivated);
public void Stage2PressurePlateChanged(bool isActivated) =>
  level2PuzzleMaster.Stage2PressurePlateChanged(isActivated);
``` "
Level2Manager.cs,Explain the code for the 'OnDisable' method in this class.," ```csharp
protected override void OnDisable() {
  base.OnDisable();
  //calling OnDisable on some classes
  level2PuzzleMaster.OnDisable();
  level2MainCoreStationManager.OnDisable();
}
``` "
